"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 08:09:57 GMT 2024","Tue Apr 30 08:09:57 GMT 2024","63","","","","ApiTests","DeleteProject","Удаление проекта","Удаление проекта по коду проекта"
"passed","Tue Apr 30 08:09:57 GMT 2024","Tue Apr 30 08:09:57 GMT 2024","222","","","","ApiTests","GetProjectFromJSON","Создание проекта из JSON","Создание проекта из JSON файла"
"passed","Tue Apr 30 08:09:56 GMT 2024","Tue Apr 30 08:10:02 GMT 2024","5595","","UI Login Tests","","LoginTest","UnCorrectLoginTest","Логин с передачей некорректных параметров","Тест использование некорректных данных"
"passed","Tue Apr 30 08:09:57 GMT 2024","Tue Apr 30 08:09:57 GMT 2024","63","","","","ApiTests","GetMissingProjectTest","Получение проекта с несуществующим CODE","Получение данных проекта по коду несуществующего проекта"
"passed","Tue Apr 30 08:09:56 GMT 2024","Tue Apr 30 08:10:02 GMT 2024","6144","","UI Login Tests","","LoginTest","CorrectLoginTest","Логин с передачей корректных параметров",""
"passed","Tue Apr 30 08:09:58 GMT 2024","Tue Apr 30 08:10:05 GMT 2024","7747","","UI Project Tests","","ProjectTest","AddProjectTest","Добавление проекта",""
"passed","Tue Apr 30 08:09:57 GMT 2024","Tue Apr 30 08:09:57 GMT 2024","63","","","","ApiTests","BadProjectCode","Создание проекта проверка поля CODE","Проверка, что поле CODE не может быть больше 10 символов"
"passed","Tue Apr 30 08:10:02 GMT 2024","Tue Apr 30 08:10:07 GMT 2024","5689","","UI Project Tests","","ProjectTest","NegativeKeyInputCheck","Негативная проверка граничного значения поля key проекта",""
"passed","Tue Apr 30 08:09:57 GMT 2024","Tue Apr 30 08:09:57 GMT 2024","79","","","","ApiTests","GetAllProjectsTest","Получение всех проектов","Получение всех существующих проектов"
"passed","Tue Apr 30 08:09:57 GMT 2024","Tue Apr 30 08:09:57 GMT 2024","65","","","","ApiTests","GetProjectTest","Получение проекта по коду","Получение данных проекта по коду проекта"
"passed","Tue Apr 30 08:10:02 GMT 2024","Tue Apr 30 08:10:11 GMT 2024","8496","","UI Project Tests","","ProjectTest","RemoveProjectTest","Удаление проекта",""
"passed","Tue Apr 30 08:09:56 GMT 2024","Tue Apr 30 08:10:07 GMT 2024","10483","","UI ProfileSettings Tests","","ProfileTest","UploadAvatarTest","Изменение аватара профиля",""
"passed","Tue Apr 30 08:09:56 GMT 2024","Tue Apr 30 08:09:57 GMT 2024","559","","","","ApiTests","CreateProject","Добавление проекта","Тест на создание проекта"
"passed","Tue Apr 30 08:09:57 GMT 2024","Tue Apr 30 08:09:58 GMT 2024","50","","","","ApiTests","RequiredFieldTest","Создание проекта проверка поля TITLE","Проверка, что поле TITLE должно быть обязательно заполнено"
